,Unnamed: 0,Unnamed: 0.1,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
54623,54623,54623,45857,2,6,0,1,0,1,30,1.0,4,0,0,53,0
16295,16295,16295,14005,4,22,2,1,0,1,37,3.0,7,0,0,60,0
2644,2644,2644,68154,4,32,2,1,0,1,37,3.0,6,1,0,61,0
51230,51230,51230,30199,4,4,0,1,2,2,31,3.0,4,0,0,58,0
46839,46839,46839,7275,7,31,2,0,0,2,40,5.0,6,0,0,47,0
50550,50550,50550,72222,0,11,0,1,0,2,31,3.0,6,1,0,85,0
49588,49588,49588,63659,8,31,2,0,0,1,39,2.0,9,0,0,79,0
28773,28773,28773,70771,7,28,0,1,2,1,36,4.0,7,0,0,51,0
8168,8168,8168,33185,4,30,2,0,0,1,41,3.0,4,1,0,58,0
18993,18993,18993,65431,7,14,2,1,0,1,32,3.0,6,0,0,45,0
18368,18368,18368,30564,0,6,0,1,2,1,35,3.0,7,0,0,84,0
28386,28386,28386,28955,7,4,0,1,2,1,36,4.0,5,0,0,53,0
48169,48169,48169,65728,4,18,0,0,2,1,30,5.0,4,1,0,58,0
12879,12879,12879,22393,7,11,2,1,0,1,41,4.0,2,1,1,98,1
19130,19130,19130,76183,8,11,2,1,0,1,41,1.0,4,1,0,80,0
50968,50968,50968,48199,7,7,0,0,2,1,25,3.0,3,0,0,49,0
4133,4133,4133,42203,3,14,0,1,2,1,28,3.0,1,1,0,63,0
38821,38821,38821,70264,0,20,0,1,2,1,29,3.0,2,1,0,89,0
16247,16247,16247,9099,7,15,0,1,0,1,29,3.0,4,0,0,49,0
37011,37011,37011,7948,8,14,0,0,0,1,30,2.0,5,0,0,82,1
13074,13074,13074,17479,7,14,2,1,2,1,29,2.0,8,0,0,53,0
14547,14547,14547,205,0,22,0,1,2,1,29,4.0,4,0,0,82,0
21036,21036,21036,22698,7,31,0,1,2,2,33,5.0,4,0,0,51,0
33363,33363,33363,39595,7,6,2,1,0,1,33,5.0,6,1,0,54,0
27684,27684,27684,46143,4,24,0,1,2,1,42,3.0,12,0,0,59,0
52326,52326,52326,24248,4,2,0,0,0,2,38,3.0,10,0,0,59,0
37834,37834,37834,22515,7,14,0,1,0,3,30,2.0,3,0,0,51,0
26698,26698,26698,46646,8,8,0,0,2,1,30,4.0,5,1,0,77,0
19695,19695,19695,57452,7,11,2,1,0,1,47,5.0,19,0,0,51,0
46185,46185,46185,76682,7,6,0,1,0,1,46,1.0,16,0,0,51,0
28636,28636,28636,56463,5,11,0,1,0,3,29,5.0,2,1,0,68,0
924,924,924,64730,7,21,0,1,0,1,33,1.0,4,0,0,50,0
32954,32954,32954,1392,8,11,0,1,0,1,34,1.0,7,0,0,84,0
36638,36638,36638,36327,5,11,2,1,2,1,54,3.0,14,1,0,68,0
4703,4703,4703,35522,0,5,0,1,2,3,30,5.0,3,1,0,83,0
45313,45313,45313,63574,7,18,2,0,0,1,33,1.0,9,0,0,47,0
2802,2802,2802,20733,5,5,2,0,0,1,35,5.0,9,1,0,71,0
3641,3641,3641,70071,0,22,0,1,2,1,29,3.0,1,1,0,83,0
14961,14961,14961,13961,7,11,0,1,2,2,28,3.0,2,0,0,53,0
12091,12091,12091,27070,4,4,0,1,0,1,45,3.0,13,0,0,58,0
31467,31467,31467,60973,4,10,0,1,2,2,34,3.0,7,1,0,63,1
48167,48167,48167,50412,4,19,0,1,2,1,36,3.0,10,0,0,58,0
18741,18741,18741,6253,6,11,0,1,2,1,35,1.0,7,0,0,87,0
42886,42886,42886,62014,1,7,0,1,0,1,29,5.0,6,1,0,63,0
18518,18518,18518,11717,0,21,0,0,0,1,28,3.0,1,1,0,85,0
11420,11420,11420,57803,5,32,2,1,2,1,39,2.0,11,1,0,71,0
10204,10204,10204,48165,5,11,2,0,2,1,32,4.0,7,0,0,93,1
124,124,124,72744,5,11,2,1,2,2,47,3.0,5,1,0,71,0
43781,43781,43781,35637,7,6,0,1,0,1,40,1.0,13,0,0,51,0
11791,11791,11791,13641,8,4,0,1,0,2,29,3.0,4,0,0,80,0
29676,29676,29676,38497,7,11,2,0,2,1,40,5.0,4,0,0,49,0
17309,17309,17309,43725,0,11,0,1,0,1,39,5.0,11,1,0,89,0
46751,46751,46751,52516,5,14,2,0,0,2,36,3.0,2,0,0,70,0
15473,15473,15473,3743,0,14,0,0,0,1,36,5.0,3,0,0,87,0
31916,31916,31916,948,7,10,0,1,0,2,29,3.0,2,0,0,50,0
30026,30026,30026,46962,1,10,0,1,2,1,34,3.0,7,0,0,55,0
19178,19178,19178,76738,1,19,0,1,0,1,29,3.0,4,1,0,64,0
29027,29027,29027,3589,7,0,0,1,0,1,35,5.0,9,1,0,45,0
29711,29711,29711,30051,1,11,0,1,0,1,49,1.0,19,0,0,59,0
45935,45935,45935,7020,7,5,0,1,0,1,42,3.0,11,0,0,53,0
48575,48575,48575,64904,0,31,0,1,2,1,41,3.0,3,1,0,88,0
50741,50741,50741,70879,4,20,2,1,2,1,33,3.0,7,1,0,58,0
28332,28332,28332,68503,0,11,0,1,2,2,39,3.0,2,1,0,83,0
53569,53569,53569,25219,4,10,0,1,0,1,33,1.0,4,0,0,63,0
49219,49219,49219,32623,7,7,0,1,0,1,28,4.0,2,1,0,50,0
19136,19136,19136,15969,5,4,2,1,0,1,42,5.0,6,1,0,70,0
41510,41510,41510,71768,4,14,0,0,0,1,29,4.0,8,0,0,59,0
13178,13178,13178,2902,7,6,0,0,2,1,33,4.0,2,0,0,49,0
37623,37623,37623,48148,7,31,0,1,0,1,54,5.0,7,0,0,52,0
14027,14027,14027,65762,1,17,0,1,0,1,31,3.0,10,0,0,59,0
5059,5059,5059,24017,0,25,0,1,2,1,30,2.0,2,0,0,88,0
27973,27973,27973,5557,8,11,0,0,0,1,27,3.0,1,0,0,83,1
20019,20019,20019,54007,4,14,0,1,2,1,40,3.0,11,0,0,61,0
44236,44236,44236,13237,7,1,0,1,2,1,27,1.0,4,0,0,51,0
9347,9347,9347,27789,1,23,0,1,2,1,26,3.0,2,0,0,61,0
11531,11531,11531,64210,2,4,0,1,0,2,34,4.0,7,0,0,50,0
26974,26974,26974,76662,8,8,0,0,2,1,26,3.0,1,1,0,81,0
15131,15131,15131,18074,7,14,2,1,0,1,36,2.0,2,0,0,49,0
40945,40945,40945,50664,8,11,0,1,2,1,48,1.0,16,0,0,85,0
54295,54295,54295,74898,0,24,0,1,0,2,27,4.0,3,0,1,85,0
32735,32735,32735,55713,7,6,0,1,2,1,35,2.0,13,0,0,51,0
13540,13540,13540,59173,0,4,2,1,0,1,33,4.0,3,0,0,84,0
25445,25445,25445,59594,0,11,0,1,2,1,45,4.0,2,0,0,87,0
16154,16154,16154,32435,7,11,0,0,2,1,32,4.0,3,0,0,51,0
10995,10995,10995,75976,7,20,2,1,0,1,35,1.0,3,1,0,48,0
7610,7610,7610,16923,0,31,2,1,0,1,34,3.0,7,1,0,89,0
4610,4610,4610,36965,0,4,0,1,0,1,49,4.0,4,1,1,84,0
33337,33337,33337,16385,8,5,0,1,2,1,29,2.0,2,0,0,82,0
52151,52151,52151,10708,7,31,0,0,0,1,41,1.0,10,0,0,56,0
18431,18431,18431,59877,8,6,0,1,2,1,31,4.0,4,0,0,90,1
39938,39938,39938,15525,4,25,0,1,0,1,37,1.0,4,1,0,59,0
5898,5898,5898,17914,4,16,0,0,0,1,30,5.0,4,0,0,74,1
10687,10687,10687,54009,0,31,0,1,2,1,26,5.0,3,0,0,89,0
44211,44211,44211,34026,7,29,0,1,0,1,29,2.0,7,0,0,47,0
49947,49947,49947,19083,5,14,0,1,2,1,33,1.0,2,1,0,66,0
35283,35283,35283,43392,2,14,0,1,1,1,29,5.0,2,0,0,46,0
15049,15049,15049,64323,7,28,0,1,0,1,27,1.0,3,0,0,44,0
3040,3040,3040,18250,7,11,2,1,2,1,46,1.0,15,0,0,49,0
51276,51276,51276,54138,7,4,0,1,2,1,34,3.0,6,1,0,55,0
51635,51635,51635,1465,4,11,2,1,2,1,32,1.0,6,0,0,57,0
10018,10018,10018,59142,7,7,0,1,0,4,33,2.0,4,0,0,48,0
30592,30592,30592,31921,4,2,2,1,2,1,45,2.0,18,1,0,57,0
22579,22579,22579,8084,7,24,0,0,0,1,26,5.0,5,0,0,52,0
19848,19848,19848,570,7,11,0,0,2,1,40,4.0,6,1,0,52,0
621,621,621,44589,7,18,2,1,0,1,38,1.0,8,0,0,54,0
13984,13984,13984,68254,7,11,0,1,2,1,60,3.0,7,0,0,47,0
38452,38452,38452,32022,4,2,0,1,0,1,31,4.0,4,1,0,60,0
16524,16524,16524,27601,7,5,2,1,0,1,38,1.0,9,0,0,50,0
47329,47329,47329,21896,4,14,0,1,2,1,31,5.0,5,0,0,59,0
54159,54159,54159,58136,4,11,0,0,2,1,41,4.0,3,0,0,53,0
21782,21782,21782,47655,7,2,0,1,0,1,29,5.0,2,1,0,98,1
9529,9529,9529,78001,5,11,0,0,0,1,54,3.0,12,1,0,68,1
49401,49401,49401,19351,7,11,0,0,2,1,30,3.0,4,1,0,48,1
24617,24617,24617,14403,2,31,0,0,0,2,31,2.0,3,0,0,46,0
6621,6621,6621,38620,4,11,0,0,0,1,45,3.0,4,1,0,60,0
6596,6596,6596,50726,0,0,0,1,0,1,28,5.0,1,1,0,85,0
50361,50361,50361,57964,4,15,0,1,0,1,32,3.0,2,0,0,55,0
39303,39303,39303,39683,4,4,2,1,2,1,43,3.0,7,0,0,58,0
12576,12576,12576,43928,7,11,2,1,2,5,44,3.0,2,0,0,52,0
20964,20964,20964,24240,5,14,0,1,0,3,31,3.0,4,0,0,72,0
15822,15822,15822,32314,4,24,0,1,0,1,33,2.0,7,0,0,59,0
28983,28983,28983,74399,4,31,0,0,2,2,28,3.0,6,0,0,58,0
36246,36246,36246,40738,4,32,0,0,0,1,25,1.0,2,0,0,63,0
50626,50626,50626,13488,8,6,0,1,0,1,45,3.0,13,0,0,84,0
30945,30945,30945,10562,8,22,0,1,0,1,27,3.0,3,0,0,81,0
22056,22056,22056,60467,4,4,2,1,2,1,41,5.0,19,0,0,60,0
46847,46847,46847,78251,7,25,0,1,2,2,31,3.0,6,1,0,49,0
8243,8243,8243,2404,5,4,0,1,2,1,34,4.0,2,0,0,63,0
27747,27747,27747,26764,1,23,0,1,2,1,28,3.0,1,0,0,77,1
20011,20011,20011,56019,5,6,0,0,2,3,30,1.0,5,0,0,67,0
2880,2880,2880,64887,4,23,2,1,0,1,37,1.0,2,1,0,58,0
31171,31171,31171,1198,5,6,0,1,2,1,28,3.0,1,1,0,72,0
14364,14364,14364,19868,4,2,0,1,0,2,35,1.0,5,0,0,64,0
34788,34788,34788,5556,7,12,0,1,2,1,33,3.0,6,1,0,52,0
13248,13248,13248,39523,1,14,0,1,2,2,29,5.0,3,1,0,65,0
13623,13623,13623,371,8,24,0,1,2,2,25,3.0,2,0,0,80,0
11556,11556,11556,56720,7,6,0,1,2,1,31,2.0,3,0,0,49,0
42066,42066,42066,26686,2,11,0,0,0,1,58,3.0,2,0,0,50,0
30438,30438,30438,34470,7,14,0,1,1,1,27,5.0,3,0,0,48,0
50028,50028,50028,57772,0,14,0,1,0,2,28,2.0,5,1,0,83,0
50489,50489,50489,71612,7,18,0,1,0,1,29,3.0,3,1,0,48,0
15765,15765,15765,67482,7,14,0,0,2,2,32,1.0,8,0,0,52,0
5630,5630,5630,31300,4,11,0,1,2,1,38,5.0,5,0,0,60,0
9471,9471,9471,15475,5,31,0,0,0,1,39,1.0,3,0,0,72,0
12449,12449,12449,77876,7,11,2,0,2,1,35,4.0,10,0,0,53,0
9535,9535,9535,202,6,17,0,1,0,1,32,2.0,5,0,0,81,0
34531,34531,34531,4370,4,18,0,1,0,1,36,5.0,9,1,0,61,0
19845,19845,19845,44819,0,11,2,1,2,1,44,1.0,4,0,0,85,0
22528,22528,22528,54608,4,11,0,1,0,1,40,2.0,7,0,0,60,0
6554,6554,6554,25831,5,11,2,1,0,1,52,4.0,23,1,0,70,0
43667,43667,43667,38960,0,5,0,1,2,1,34,5.0,5,1,0,86,0
52180,52180,52180,31919,4,10,2,0,2,1,40,3.0,3,1,0,57,0
38777,38777,38777,63291,7,18,0,1,0,1,42,3.0,11,1,0,99,1
37170,37170,37170,49009,7,31,0,1,2,2,30,1.0,5,0,0,47,0
42210,42210,42210,77017,4,28,0,0,0,1,33,3.0,5,1,0,64,0
21899,21899,21899,54853,5,14,2,1,0,1,42,4.0,13,0,0,73,0
17776,17776,17776,3824,7,11,0,1,0,3,38,2.0,4,1,0,48,0
38446,38446,38446,73540,7,28,0,1,0,1,30,3.0,1,0,0,46,0
26932,26932,26932,62811,7,24,0,1,0,1,28,1.0,2,0,0,51,0
9827,9827,9827,35383,8,31,0,0,0,1,53,3.0,2,0,0,80,0
39438,39438,39438,56296,7,19,0,0,0,1,29,3.0,1,0,0,50,0
49037,49037,49037,43496,5,7,0,1,0,1,29,4.0,3,0,0,72,0
54591,54591,54591,45472,4,14,1,1,0,1,26,3.0,1,0,0,64,0
11149,11149,11149,14991,8,14,0,1,0,1,23,4.0,2,0,0,80,0
41318,41318,41318,71333,7,11,0,0,2,1,60,1.0,18,0,0,46,0
25282,25282,25282,5784,8,26,0,1,0,1,40,3.0,4,0,0,81,0
43735,43735,43735,1254,1,14,0,1,0,1,30,3.0,3,1,0,59,0
1899,1899,1899,56666,6,14,0,1,2,1,30,4.0,7,0,0,88,0
9057,9057,9057,3687,2,11,2,1,0,1,40,3.0,9,0,0,47,0
21360,21360,21360,1566,7,14,0,1,0,3,25,2.0,2,0,0,48,0
6157,6157,6157,76670,5,11,2,0,0,2,44,3.0,9,0,0,67,0
20660,20660,20660,66244,4,5,2,0,0,1,43,5.0,12,1,0,58,0
51058,51058,51058,62562,2,28,0,1,0,1,36,4.0,9,0,0,48,0
15012,15012,15012,29232,7,25,0,1,0,1,32,3.0,5,1,0,82,1
36462,36462,36462,42561,7,2,2,1,2,1,35,1.0,10,0,0,49,0
33588,33588,33588,8938,4,11,2,1,2,1,32,4.0,6,1,0,60,0
21189,21189,21189,21338,3,11,2,1,2,1,37,4.0,10,0,0,58,0
27673,27673,27673,60284,4,19,0,1,0,1,30,4.0,5,1,0,58,0
45284,45284,45284,10648,7,14,0,0,0,1,27,3.0,4,1,0,48,0
27160,27160,27160,62169,6,14,2,1,2,1,33,2.0,8,0,0,83,0
32466,32466,32466,45859,8,14,0,0,2,1,28,3.0,1,1,0,80,0
19994,19994,19994,18732,8,15,2,1,0,1,40,5.0,6,1,0,81,1
8679,8679,8679,20337,4,11,0,0,0,1,48,4.0,20,1,0,60,0
44364,44364,44364,15326,1,21,0,1,0,1,30,2.0,2,0,0,56,0
38115,38115,38115,43806,7,11,0,0,0,2,35,1.0,6,0,0,49,0
19453,19453,19453,16596,4,6,0,1,0,2,35,4.0,3,1,0,58,0
9446,9446,9446,31480,8,11,0,1,2,2,29,3.0,5,0,0,84,0
29425,29425,29425,34025,4,13,2,1,0,1,31,5.0,7,1,0,60,0
18943,18943,18943,71076,7,16,0,1,2,1,30,3.0,1,0,0,57,0
10598,10598,10598,30958,0,33,2,1,0,1,29,5.0,2,1,0,83,0
54651,54651,54651,57506,4,12,0,0,2,1,36,4.0,2,0,0,60,0
1578,1578,1578,60926,5,28,0,1,0,2,26,3.0,2,0,0,74,0
47681,47681,47681,46977,4,15,0,1,2,1,28,4.0,3,0,0,58,0
50923,50923,50923,28753,8,11,2,0,0,1,32,3.0,7,0,0,81,0
46398,46398,46398,29674,8,26,0,1,2,2,29,3.0,5,0,0,82,0
8589,8589,8589,52941,7,31,2,0,2,1,33,3.0,3,1,0,46,0
49220,49220,49220,67032,2,11,2,0,0,1,51,4.0,7,0,0,51,0
36591,36591,36591,14172,5,11,0,0,2,3,30,2.0,5,1,0,86,1
43383,43383,43383,1978,4,12,0,1,0,1,26,3.0,2,0,0,60,0
2537,2537,2537,75853,7,14,0,0,0,1,33,2.0,5,0,0,55,0
39719,39719,39719,32429,5,19,0,1,0,3,31,1.0,5,1,1,72,0
47316,47316,47316,10641,4,19,0,1,0,1,46,4.0,4,0,0,59,0
15041,15041,15041,44373,4,2,0,1,2,1,27,3.0,1,0,0,54,0
27542,27542,27542,67570,8,11,0,0,0,1,26,2.0,1,0,0,78,0
54298,54298,54298,53589,7,14,0,1,0,1,33,5.0,3,0,0,46,0
52125,52125,52125,78210,7,18,0,1,2,1,27,3.0,5,1,0,51,0
11825,11825,11825,59706,7,24,0,1,2,1,23,1.0,2,0,0,47,0
54533,54533,54533,15933,0,17,0,1,2,2,32,5.0,2,1,0,87,1
34784,34784,34784,22651,7,11,2,1,0,1,33,3.0,3,1,0,52,0
1256,1256,1256,49777,2,11,0,1,2,1,29,4.0,2,0,0,48,0
10307,10307,10307,170,7,24,0,1,0,1,29,3.0,6,1,0,94,1
7769,7769,7769,39443,5,30,0,0,2,1,28,3.0,1,0,0,71,0
26773,26773,26773,2815,0,14,0,0,2,1,28,5.0,5,1,0,84,0
43575,43575,43575,48576,4,23,0,1,0,1,31,3.0,6,0,0,61,0
26101,26101,26101,69617,0,14,2,0,2,1,33,1.0,3,0,0,87,0
8529,8529,8529,18405,8,31,0,0,0,1,50,3.0,16,0,0,80,0
23371,23371,23371,71123,0,21,0,1,2,1,32,3.0,5,0,0,84,0
29596,29596,29596,5880,4,28,0,1,0,1,27,2.0,2,0,0,61,0
40495,40495,40495,51816,4,11,0,1,0,1,28,3.0,3,0,0,62,0
33995,33995,33995,62643,7,6,0,0,2,1,30,3.0,7,0,0,43,0
27767,27767,27767,33578,7,11,2,1,2,1,50,3.0,5,1,0,55,0
7668,7668,7668,56770,4,5,0,0,2,2,30,3.0,1,0,0,57,0
48674,48674,48674,67814,8,11,0,0,0,1,52,3.0,18,0,0,79,0
13153,13153,13153,21707,8,6,0,0,0,1,33,2.0,3,0,0,82,0
13753,13753,13753,59955,4,31,2,0,2,1,43,5.0,3,1,0,60,0
6670,6670,6670,69516,4,20,0,1,0,3,30,1.0,2,0,0,59,0
5900,5900,5900,40222,8,31,2,1,2,1,38,4.0,3,1,0,81,0
25491,25491,25491,58490,4,10,0,1,2,1,40,1.0,3,0,0,62,0
17173,17173,17173,11545,4,24,0,1,0,1,26,3.0,3,0,0,63,0
52108,52108,52108,55225,8,7,0,1,0,3,26,1.0,4,0,0,78,0
25701,25701,25701,76505,0,28,0,1,2,1,29,3.0,5,0,0,87,0
37898,37898,37898,60340,2,14,0,1,2,1,40,4.0,5,1,0,51,0
40086,40086,40086,77450,7,20,0,1,2,1,30,3.0,3,0,0,50,0
2526,2526,2526,16405,2,31,0,1,2,1,29,3.0,6,0,0,54,0
23992,23992,23992,58414,0,14,0,1,2,3,28,4.0,2,0,0,81,0
50750,50750,50750,33817,5,29,2,1,2,1,33,4.0,7,0,0,68,0
23250,23250,23250,8591,4,28,0,0,0,2,34,5.0,9,0,0,58,0
16737,16737,16737,3708,4,4,0,0,0,1,33,3.0,2,1,0,64,0
45868,45868,45868,73962,0,11,0,1,2,1,45,3.0,5,1,0,90,0
48429,48429,48429,69389,4,31,0,0,0,1,32,5.0,7,0,0,58,0
24560,24560,24560,7021,7,12,0,1,2,1,40,3.0,9,0,0,53,0
21510,21510,21510,37725,7,20,0,1,2,1,35,4.0,6,0,0,52,0
40256,40256,40256,34976,7,31,2,0,2,1,36,2.0,10,0,0,47,0
52912,52912,52912,37050,4,3,2,1,0,2,35,3.0,7,0,0,65,0
39943,39943,39943,50497,6,2,0,1,0,3,33,3.0,3,1,0,84,0
36674,36674,36674,26571,7,11,0,0,2,1,33,4.0,3,1,0,50,0
10997,10997,10997,74740,5,1,2,1,0,1,35,5.0,3,1,0,73,0
42746,42746,42746,49211,5,14,2,1,0,1,49,3.0,7,1,0,76,0
15260,15260,15260,15995,7,31,0,1,2,2,33,5.0,2,1,0,52,0
12658,12658,12658,14378,8,24,0,0,0,2,32,3.0,7,0,0,76,0
36055,36055,36055,69535,3,11,2,0,2,1,55,5.0,12,1,0,62,0
28959,28959,28959,45514,7,6,0,1,0,2,30,1.0,5,0,0,48,0
46,46,46,17876,5,4,2,0,0,1,37,4.0,4,0,0,71,0
37467,37467,37467,17961,4,7,2,1,0,1,42,5.0,12,1,0,60,0
37807,37807,37807,76482,2,31,0,1,2,1,25,4.0,3,0,0,49,0
18749,18749,18749,16134,8,11,0,0,2,2,31,2.0,4,0,0,81,0
28908,28908,28908,22533,1,18,0,1,0,1,28,3.0,4,0,0,55,0
36559,36559,36559,7321,8,19,0,0,2,1,31,4.0,4,1,0,89,1
51185,51185,51185,2504,7,23,0,1,2,1,28,5.0,5,0,0,47,0
50124,50124,50124,62173,1,11,2,1,0,1,38,3.0,10,0,0,55,0
50040,50040,50040,46860,2,15,0,1,0,1,29,3.0,1,0,0,49,0
34425,34425,34425,10745,4,10,2,0,0,1,39,5.0,7,1,0,60,0
33745,33745,33745,72308,4,19,0,0,0,2,34,3.0,8,1,0,62,0
41648,41648,41648,51207,5,11,0,1,2,1,41,2.0,9,0,0,69,0
23482,23482,23482,47351,5,11,2,1,2,1,49,2.0,17,0,0,76,0
49795,49795,49795,65755,7,19,0,1,2,1,34,4.0,8,0,0,47,0
23216,23216,23216,20026,5,11,0,1,2,1,30,5.0,3,1,0,68,0
8160,8160,8160,61669,7,11,0,1,0,1,30,4.0,4,0,0,51,0
25965,25965,25965,39856,4,14,0,0,2,1,30,4.0,7,0,0,58,0
29877,29877,29877,35707,0,17,2,1,2,1,37,3.0,8,1,0,86,0
13328,13328,13328,51907,7,11,0,1,0,1,56,4.0,3,0,0,52,0
14502,14502,14502,32141,2,11,0,0,0,1,36,5.0,10,0,0,44,0
10299,10299,10299,7186,7,16,0,1,2,1,30,2.0,3,0,0,46,0
7306,7306,7306,29873,2,11,0,0,0,1,34,2.0,8,0,0,51,0
11816,11816,11816,67782,7,6,0,1,0,1,38,3.0,9,0,0,49,0
49882,49882,49882,69470,7,19,0,1,2,1,32,5.0,7,0,0,42,0
16444,16444,16444,36584,8,11,0,1,0,1,32,1.0,9,0,0,74,0
50101,50101,50101,16531,8,18,2,0,2,1,39,3.0,9,0,1,81,0
33631,33631,33631,29026,7,11,0,1,0,2,26,5.0,2,0,0,49,0
48824,48824,48824,42713,8,16,2,0,2,1,30,3.0,6,0,0,82,0
10253,10253,10253,46905,1,6,0,1,0,1,33,4.0,4,0,0,55,0
9546,9546,9546,29973,0,17,0,1,0,1,29,5.0,4,1,0,86,0
12238,12238,12238,36490,8,12,0,1,0,2,33,3.0,3,1,0,78,0
18053,18053,18053,74702,4,23,0,1,2,1,28,3.0,1,0,0,61,0
96,96,96,64109,8,18,0,0,2,1,23,3.0,1,0,0,77,0
54453,54453,54453,15532,5,1,2,0,0,1,35,5.0,4,1,0,71,0
30159,30159,30159,57973,7,19,0,1,0,1,30,5.0,7,1,0,48,1
33873,33873,33873,61635,7,11,0,1,1,1,35,4.0,7,1,0,52,0
48127,48127,48127,10124,7,16,0,1,2,1,40,1.0,3,0,0,51,0
25906,25906,25906,27837,7,11,0,0,2,1,45,3.0,18,0,0,50,0
31955,31955,31955,24067,2,14,0,0,2,1,31,4.0,3,0,0,52,0
11107,11107,11107,38703,7,24,0,1,2,1,27,3.0,1,0,0,51,0
43498,43498,43498,556,7,31,2,1,0,1,44,5.0,16,1,0,47,0
12828,12828,12828,29174,7,6,0,1,0,1,40,1.0,3,0,0,53,0
43460,43460,43460,11364,7,6,0,1,2,2,28,3.0,5,1,0,54,0
54250,54250,54250,5175,7,2,2,1,0,1,46,2.0,17,0,0,47,0
43851,43851,43851,52366,4,31,2,1,0,1,43,4.0,5,0,0,54,0
48188,48188,48188,65351,4,28,2,0,0,1,37,4.0,3,0,0,62,0
46317,46317,46317,44014,5,12,0,0,2,1,33,4.0,6,1,0,65,0
13350,13350,13350,72556,7,7,0,1,2,1,33,2.0,6,0,0,46,0
16177,16177,16177,21392,5,8,2,0,0,1,43,2.0,5,0,0,69,0
31325,31325,31325,54718,5,31,0,0,2,2,32,3.0,3,1,0,69,0
5842,5842,5842,11079,8,6,0,1,0,1,33,3.0,8,0,0,88,1
42868,42868,42868,37597,3,11,2,1,0,1,43,3.0,11,0,0,62,0
36022,36022,36022,56950,7,22,0,1,2,1,31,3.0,3,0,0,46,0
38531,38531,38531,33388,7,31,0,1,2,1,34,4.0,10,0,0,52,0
49486,49486,49486,73632,7,19,0,1,0,1,42,3.0,12,0,0,47,0
47623,47623,47623,41467,4,28,0,0,2,1,34,3.0,7,0,0,58,0
18177,18177,18177,74087,7,22,0,1,0,1,29,3.0,2,0,0,50,0
25283,25283,25283,70639,7,6,0,0,0,2,32,5.0,7,1,1,54,0
25759,25759,25759,34112,5,7,0,0,0,1,28,3.0,5,1,0,68,0
14620,14620,14620,16514,6,11,2,1,0,1,44,3.0,14,0,0,85,0
39894,39894,39894,55776,8,7,0,0,0,1,40,4.0,7,0,0,79,0
37014,37014,37014,51361,7,11,0,1,2,1,48,3.0,16,0,0,53,0
25790,25790,25790,33968,4,11,2,0,2,1,58,4.0,5,1,0,59,0
3539,3539,3539,59827,0,5,0,1,0,1,36,3.0,2,1,0,80,0
14908,14908,14908,6962,7,11,0,0,0,1,25,5.0,3,0,0,50,0
3923,3923,3923,65763,8,11,0,1,0,1,36,4.0,3,0,0,80,0
9776,9776,9776,69887,8,8,0,0,0,1,29,3.0,7,1,1,79,1
